side,made_new_ext,mins,pull_pts,pull_pct,dist_edge_pts,dist_edge_pct
long,True,5.0,0.5,9.259259259259103,1.099999999999909,20.37037037036834
short,True,2.0,0.5,8.474576271186637,0.0,0.0
short,False,,11.0,110.00000000000001,-9.0,-90.0
short,True,1.0,1.0,13.333333333333334,1.0,13.333333333333334
long,True,0.0,-0.5,-9.090909090909092,1.0,18.181818181818183
long,True,0.0,0.5,10.0,2.0,40.0
long,True,0.0,-0.5,-7.142857142857142,2.5,35.714285714285715
short,True,9.0,1.900000000000091,27.14285714285844,1.5,21.428571428571427
short,True,17.0,2.400000000000091,43.63636363636529,0.5,9.090909090909092
short,True,127.0,9.0,225.0,-8.0,-200.0
short,True,0.0,0.5,12.820512820512523,0.5,12.820512820512523
short,False,,19.0,345.45454545454544,-17.5,-318.1818181818182
long,True,4.0,1.0,18.181818181818183,1.0,18.181818181818183
short,True,5.0,0.0,0.0,2.0,50.0
short,True,0.0,-0.5,-10.0,3.0,60.0
long,True,11.0,0.5,8.333333333333332,0.5,8.333333333333332
long,True,0.0,0.5,14.285714285714285,1.0,28.57142857142857
short,True,0.0,-0.5,-12.5,2.8999999999998636,72.49999999999659
short,True,13.0,2.5,33.33333333333333,0.5,6.666666666666667
short,True,0.0,0.0,0.0,2.5,45.45454545454545
long,True,16.0,0.5,14.285714285714285,0.0,0.0
short,True,0.0,0.0,0.0,2.400000000000091,43.63636363636529
long,True,0.0,-0.5,-7.6923076923076925,2.0,30.76923076923077
short,True,10.0,1.0,20.0,-0.09999999999990905,-1.999999999998181
long,True,7.0,0.5,11.11111111111111,0.0,0.0
short,True,0.0,0.5,9.090909090909092,3.0,54.54545454545454
long,True,0.0,0.5,8.333333333333332,0.5,8.333333333333332
long,True,0.0,0.5,11.11111111111111,4.5,100.0
long,True,88.0,2.5,55.55555555555556,-0.5,-11.11111111111111
long,True,4.0,0.5,5.263157894736842,1.5,15.789473684210526
short,True,1.0,0.0,0.0,1.5,20.0
long,True,19.0,2.0,36.36363636363637,-1.0,-18.181818181818183
long,True,0.0,0.5,9.090909090909092,0.5,9.090909090909092
short,False,,11.0,169.23076923076923,-8.5,-130.76923076923077
long,True,0.0,-0.5,-7.142857142857142,3.5,50.0
short,True,31.0,3.0,66.66666666666666,1.0,22.22222222222222
short,False,,20.0,235.29411764705884,-19.5,-229.41176470588235
short,True,0.0,-0.5,-10.0,1.0,20.0
short,True,51.0,2.0,30.76923076923077,-0.10000000000013642,-1.5384615384636373
long,True,9.0,1.0,20.0,3.0,60.0
long,True,2.0,1.0,20.0,0.0,0.0
long,True,0.0,0.0,0.0,3.5,116.66666666666667
short,False,,13.400000000000091,248.14814814814565,-12.900000000000091,-238.88888888888653
short,True,16.0,0.40000000000009095,8.000000000001819,1.0,20.0
long,True,0.0,0.0,0.0,6.0,93.74999999999866
short,True,3.0,0.5,4.807692307692371,1.0,9.615384615384743
long,True,208.0,15.900000000000091,159.0000000000009,-9.5,-95.0
long,True,31.0,5.0,100.0,-2.5,-50.0
short,True,1.0,1.0,13.513513513513347,-0.5,-6.7567567567566735
short,True,33.0,2.5,55.55555555555556,-1.5,-33.33333333333333
short,True,1.0,0.5,11.363636363636129,0.0,0.0
long,True,7.0,3.0,37.97468354430336,-1.5,-18.98734177215168
long,True,3.0,1.0,15.384615384615385,0.5,7.6923076923076925
long,True,0.0,0.5,8.474576271186637,1.5,25.423728813559908
short,True,75.0,5.5,141.02564102563773,3.5,89.74358974358765
short,True,0.0,0.5,4.807692307692371,6.5,62.500000000000824
short,True,15.0,2.400000000000091,36.92307692307833,-0.5,-7.6923076923076925
short,True,275.0,12.900000000000091,174.3243243243234,-11.400000000000091,-154.05405405405338
short,True,7.0,1.5,37.5,0.0,0.0
short,True,50.0,6.5,54.166666666666664,-2.5,-20.833333333333336
long,True,10.0,3.0,42.857142857142854,-0.5,-7.142857142857142
short,False,,15.400000000000091,155.55555555555503,-14.900000000000091,-150.50505050505
short,True,0.0,0.5,9.090909090909092,3.900000000000091,70.90909090909257
short,True,134.0,5.400000000000091,108.00000000000183,-4.5,-90.0
long,True,195.0,12.0,160.0,-3.0,-40.0
short,True,0.0,0.5,5.617977528089973,1.0,11.235955056179947
long,False,,14.399999999999864,179.9999999999983,-13.899999999999864,-173.7499999999983
short,True,1.0,0.5,9.090909090909092,0.0,0.0
long,False,,16.40000000000009,334.69387755101604,-15.900000000000091,-324.4897959183632
long,True,6.0,2.0,22.22222222222222,0.5,5.555555555555555
short,True,8.0,2.5,41.66666666666667,-1.0,-16.666666666666664
short,True,18.0,3.5,87.5,-1.5,-37.5
long,True,1.0,0.5,4.3478260869565215,7.5,65.21739130434783
short,False,,12.0,218.18181818181816,-11.0,-200.0
long,True,0.0,0.0,0.0,0.5,4.032258064516173
long,True,1.0,0.5,7.142857142857142,1.0,14.285714285714285
short,True,0.0,1.5,23.437499999999666,1.5,23.437499999999666
short,True,1.0,0.0,0.0,0.5,6.666666666666667
long,True,5.0,0.5,7.142857142857142,0.0,0.0
long,False,,8.0,145.45454545454547,-3.5,-63.63636363636363
short,True,3.0,0.5,7.6923076923076925,4.900000000000091,75.38461538461678
short,False,,3.0,50.0,-2.5,-41.66666666666667
short,True,49.0,3.5,70.0,-3.0,-60.0
long,True,0.0,0.5,7.246376811594346,0.10000000000013642,1.4492753623208465
short,True,51.0,3.5,100.0,-0.5,-14.285714285714285
long,True,282.0,6.0,171.42857142857142,-4.0,-114.28571428571428
long,False,,11.5,209.0909090909091,-10.5,-190.9090909090909
long,True,274.0,9.399999999999864,125.33333333333152,-7.399999999999864,-98.66666666666485
long,True,1.0,0.0,0.0,2.5,50.0
long,True,0.0,0.5,8.333333333333332,0.0,0.0
short,True,30.0,3.5,30.434782608695656,0.5,4.3478260869565215
short,True,0.0,0.5,11.11111111111111,2.5,55.55555555555556
short,True,45.0,4.5,64.28571428571429,-2.5,-35.714285714285715
long,True,4.0,0.0,0.0,0.5,4.545454545454546
long,True,0.0,0.5,9.090909090909092,3.5,63.63636363636363
short,True,0.0,0.5,11.11111111111111,3.900000000000091,86.66666666666869
long,True,99.0,5.5,122.22222222222223,-2.5,-55.55555555555556
short,True,3.0,2.0,28.57142857142857,0.5,7.142857142857142
short,True,35.0,1.5,12.0,1.5,12.0
short,True,1.0,0.0,0.0,2.5,21.00840336134478
short,True,2.0,0.5,4.587155963302713,0.5,4.587155963302713
long,True,28.0,0.5,5.952380952381049,0.0,0.0
long,True,0.0,-0.5,-7.246376811594107,2.5,36.23188405797054
long,True,1.0,0.0,0.0,0.5,10.0
short,True,211.0,4.0,67.79661016949048,0.0,0.0
short,True,25.0,2.0,27.027027027027522,-1.0,-13.513513513513761
short,True,0.0,0.0,0.0,6.0,120.0
short,True,0.0,-0.5,-8.333333333333332,1.5,25.0
short,True,2.0,0.5,16.666666666666664,1.0,33.33333333333333
short,True,9.0,1.900000000000091,25.67567567567738,4.0,54.054054054055044
long,True,8.0,0.5,7.142857142857142,1.5,21.428571428571427
long,True,2.0,1.0,12.658227848101482,1.0,12.658227848101482
short,False,,22.899999999999864,305.3333333333315,-22.399999999999864,-298.66666666666487
long,True,0.0,0.0,0.0,0.5,10.0
long,True,1.0,-0.5,-7.6923076923076925,1.5,23.076923076923077
long,True,55.0,3.5,53.84615384615385,-2.5,-38.46153846153847
long,True,4.0,0.0,0.0,0.5,8.333333333333332
short,True,0.0,0.0,0.0,3.0,60.0
short,True,3.0,0.0,0.0,1.5,25.42372881355893
long,True,2.0,2.0,23.809523809524197,3.0,35.71428571428629
long,True,4.0,2.0,40.0,-0.5,-10.0
short,True,3.0,2.5,42.37288135593318,5.5,93.22033898305301
