date,side,accept_candle_idx,accept_time,orb_high,orb_low,orb_range,orb_range_pct,open_930,prev_close,preopen_move_pct,accept_close,leg_pts,mae_pts,mae_pct_price,mae_pct_range,retrace_pct_leg,depth_beyond_level_pts,retest_level,reenter_range,touch_mid,touch_opposite,close_back_inside,minutes_to_max_pullback,minutes_to_retest,rvol_at_accept,eod_close,day_move_pct,day_type
2005-01-04,short,3,10:45:00,1611.6,1604.6,7.0,0.4346206382714516,1610.6,1602.0,0.536828963795255,1599.6,5.0,0.5,0.0312578144536134,7.142857142857142,10.0,-4.5,False,False,False,False,False,0.0,,0.575811209439528,1573.3,-2.315907115360727,down1
2005-01-05,short,3,10:45:00,1579.8,1568.9,10.899999999999864,0.6945329425257973,1569.4,1573.3,-0.2478866077671004,1566.4,2.5,11.899999999999864,0.759703779366692,109.17431192660564,475.99999999999454,9.399999999999864,True,True,True,False,False,171.0,7.0,1.1553725196555598,1562.9,-0.4141710207722693,other
2005-01-06,short,3,10:45:00,1570.0,1563.0,7.0,0.4469987228607918,1566.0,1562.9,0.1983492225990035,1562.5,0.5,7.5,0.48,107.14285714285714,1500.0,7.0,True,True,True,True,False,191.0,0.0,0.8322259136212624,1555.6,-0.6641123882503264,other
2005-01-07,short,2,10:30:00,1567.1,1560.6,6.5,0.4158403173181498,1563.1,1555.6,0.482129082026228,1557.2,3.399999999999864,19.899999999999864,1.2779347546878923,306.15384615384403,585.2941176470783,16.5,True,True,True,True,True,127.0,45.0,1.181665466762659,1563.7,0.03838526006014753,other
2005-01-10,long,2,10:30:00,1566.4,1557.5,8.900000000000091,0.5706957358127663,1559.5,1563.7,-0.2685937200230248,1571.9,5.5,14.900000000000093,0.94789744894714,167.41573033707795,270.9090909090925,9.400000000000093,True,True,True,True,True,301.0,288.0,1.0040755835494628,1563.0,0.22443090734209914,other
2005-01-11,short,10,12:30:00,1560.1,1553.6,6.5,0.4177109440267336,1556.1,1563.0,-0.4414587332053798,1550.1,3.5,10.0,0.6451196696987291,153.84615384615387,285.7142857142857,6.5,True,True,True,True,False,101.0,4.0,0.8833019628932508,1552.1,-0.25705288863183684,other
2005-01-12,short,3,10:45:00,1562.2,1549.2,13.0,0.8337609030271933,1559.2,1552.1,0.4574447522711189,1545.2,4.0,21.0,1.3590473725084131,161.53846153846155,525.0,17.0,True,True,True,True,True,299.0,45.0,1.1765754430114292,1564.7,0.3527449974345842,other
2005-01-13,short,7,11:45:00,1566.3,1557.8,8.5,0.5430268958027216,1565.3,1564.7,0.0383460088195786,1556.8,1.0,7.5,0.4817574511819116,88.23529411764706,750.0,6.5,True,True,True,False,False,167.0,17.0,0.8182838244847339,1543.4,-1.3990928256564117,down1
2005-01-14,long,2,10:30:00,1554.9,1548.4,6.5,0.4197881684319297,1548.4,1543.4,0.3239600881171478,1558.9,4.0,4.5,0.2886650843543524,69.23076923076923,112.5,0.5,True,True,False,False,False,190.0,82.0,0.918746133223345,1558.9,0.6781193490054349,other
2005-01-18,long,2,10:30:00,1554.8,1549.8,5.0,0.322102686336404,1552.3,1560.7,-0.538220029473957,1557.8,3.0,0.0,0.0,0.0,0.0,-3.5,False,False,False,False,False,0.0,,0.8374696771785781,1571.8,1.2562004767119772,up1
