side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
long,True,0.5934520237380614,12:15:00,False,True,same,False,False,True
short,True,-0.522417669620423,10:30:00,False,True,same,False,False,True
short,True,-0.9152407481098246,13:45:00,False,True,same,False,False,True
long,True,-0.42752171008684225,10:30:00,True,False,opposite,True,True,False
long,False,1.2773109243697567,,,,,,,
long,True,-0.2993812786907024,14:15:00,True,False,opposite,True,True,False
long,False,1.2051437420049993,,,,,,,
long,False,1.9876354450575118,,,,,,,
long,False,0.7156798959011113,,,,,,,
long,False,0.45205037132709514,,,,,,,
short,True,0.1992800205708578,10:15:00,False,True,same,True,False,False
short,True,0.22297254252405807,10:15:00,False,False,none,True,False,False
short,True,0.06337938902269968,10:45:00,True,False,opposite,True,True,False
long,True,-0.1270890258626145,10:30:00,False,False,none,True,False,False
long,False,0.6327912421692172,,,,,,,
long,False,1.3857251328777354,,,,,,,
short,True,-0.24277888446215812,12:15:00,True,True,opposite,False,False,False
short,True,-0.11860174781523902,15:15:00,False,True,same,False,False,True
short,True,-0.46195143267370176,10:15:00,True,True,opposite,False,False,True
short,True,0.12514861397909804,11:45:00,True,True,same,True,False,False
short,True,0.6869847614289215,10:30:00,True,False,opposite,True,True,False
long,False,0.4340277777777679,,,,,,,
short,False,-0.7107979479572313,,,,,,,
short,True,0.03107906514172587,11:30:00,True,True,same,True,False,False
long,False,0.9305788200260512,,,,,,,
long,True,0.46310589688174364,11:00:00,False,True,same,False,False,True
short,False,-0.48807611516124005,,,,,,,
short,True,-0.31108069433211094,13:00:00,False,True,same,False,False,True
short,False,-0.7729709512529714,,,,,,,
long,True,0.18775816748028973,13:00:00,False,True,same,False,False,False
short,False,-1.1153342887407325,,,,,,,
long,True,0.7551444213705905,12:15:00,False,True,same,False,False,True
short,True,0.1953125,12:45:00,True,True,same,True,True,False
long,False,0.7866087722610215,,,,,,,
short,False,-1.2471015855110679,,,,,,,
long,True,0.18994554894262716,11:15:00,False,True,same,False,False,False
long,True,-0.09508716323296529,14:15:00,False,False,none,True,False,False
long,True,-0.18382352941175295,12:15:00,False,False,none,True,False,False
long,True,-0.12670256572695493,11:00:00,True,False,opposite,True,True,False
short,True,-0.24744622803121175,13:30:00,False,True,same,False,False,True
long,True,-0.4143294237633821,10:15:00,True,True,same,True,True,False
long,True,0.12788541466846048,11:30:00,False,True,same,False,False,False
short,True,-0.2237851662404089,12:00:00,True,True,same,False,False,False
long,False,1.2557151136583178,,,,,,,
short,True,0.25567273889421926,12:15:00,True,True,same,True,True,False
short,True,0.861189078846647,10:30:00,True,True,same,True,True,False
short,True,-0.18328909113892733,11:00:00,False,True,same,False,False,True
short,True,-0.5312084993359778,13:30:00,False,True,same,False,False,True
long,False,1.1137125862178188,,,,,,,
long,True,0.25070510811657787,11:00:00,False,True,same,False,False,True
long,True,0.34513052208835493,15:00:00,False,True,same,False,False,True
short,True,0.3449357165255629,12:15:00,True,False,opposite,True,True,False
short,True,-0.6197571052961148,10:30:00,False,True,same,False,False,True
long,True,-0.6224066390041361,13:30:00,True,True,same,True,True,False
