date,side,orb_range,accept_close,p1_pull_pts,p1_pull_pct_range,p1_dist_level_pts,p1_dist_level_pct_range,p1_reentered,p1_closed_cont,already_beyond_pdh,touched_pdh,mins_to_pdh,pull_before_pdh_pts,pull_before_pdh_pct_range,dist_level_before_pdh_pts,dist_level_before_pdh_pct_range,eod_close_beyond_pdh,touched_pdh_daily,already_beyond_pdh_daily
2005-01-04,short,7.0,1599.6,0.5,7.142857142857142,4.5,64.28571428571429,False,True,False,True,3.0,0.5,7.142857142857142,4.5,64.28571428571429,True,True,False
2005-01-05,short,10.899999999999864,1566.4,3.0,27.52293577981686,-0.5,-4.587155963302809,True,False,False,True,41.0,7.5,68.80733944954216,-5.0,-45.8715596330281,True,False,False
2005-01-06,short,7.0,1562.5,1.0,14.285714285714285,-0.5,-7.142857142857142,True,True,False,True,5.0,1.0,14.285714285714285,-0.5,-7.142857142857142,True,False,False
2005-01-07,short,6.5,1557.2,1.5,23.076923076923077,1.8999999999998636,29.230769230767134,False,True,False,True,8.0,1.5,23.076923076923077,1.8999999999998636,29.230769230767134,False,True,False
2005-01-10,long,8.900000000000091,1571.9,2.0,22.47191011235932,3.5,39.32584269662881,False,True,False,True,192.0,4.5,50.56179775280847,1.0,11.23595505617966,False,True,False
2005-01-11,short,6.5,1550.1,4.0,61.53846153846154,-0.5,-7.6923076923076925,True,False,True,True,0.0,1.0,15.384615384615385,2.5,38.46153846153847,True,True,False
2005-01-12,short,13.0,1545.2,2.0,15.384615384615385,2.0,15.384615384615385,False,True,False,True,5.0,2.0,15.384615384615385,2.0,15.384615384615385,False,True,False
2005-01-13,short,8.5,1556.8,0.5,5.88235294117647,0.5,5.88235294117647,False,False,False,False,,,,,,False,True,False
2005-01-14,long,6.5,1558.9,1.5,23.076923076923077,2.5,38.46153846153847,False,True,False,False,,,,,,False,True,False
2005-01-18,long,5.0,1557.8,-0.5,-10.0,3.5,70.0,False,True,False,True,0.0,-0.5,-10.0,3.5,70.0,True,False,False
2005-01-19,short,7.5,1562.9,0.5,6.666666666666667,0.0,0.0,False,True,False,True,295.0,0.5,6.666666666666667,0.0,0.0,True,False,False
2005-01-20,long,7.899999999999864,1532.1,5.899999999999864,74.68354430379704,-3.8999999999998636,-49.36708860759406,True,False,False,False,,,,,,False,True,False
2005-01-21,long,8.0,1521.8,2.0,25.0,-1.0,-12.5,True,False,False,False,,,,,,False,False,False
2005-01-24,short,10.899999999999864,1493.7,8.0,73.39449541284495,-3.5,-32.11009174311967,True,False,True,True,0.0,2.5,22.93577981651405,2.0,18.348623853211237,True,True,False
2005-01-25,long,9.5,1503.3,1.5,15.789473684210526,1.5,15.789473684210526,False,False,False,False,,,,,,False,True,False
2005-01-26,short,4.0,1497.9,2.5,62.5,-2.0,-50.0,True,False,False,False,,,,,,False,False,False
2005-01-27,long,7.5,1508.4,2.900000000000091,38.66666666666788,1.5,20.0,False,False,False,False,,,,,,False,False,False
2005-01-28,short,7.400000000000091,1499.1,0.5,6.7567567567566735,4.5,60.81081081081007,False,True,False,True,5.0,0.5,6.7567567567566735,4.5,60.81081081081007,False,True,False
2005-01-31,long,7.0,1521.3,0.5,7.142857142857142,1.5,21.428571428571427,False,True,True,True,0.0,0.5,7.142857142857142,1.5,21.428571428571427,True,True,False
2005-02-01,long,4.5,1521.9,1.0,22.22222222222222,-0.5,-11.11111111111111,True,True,False,True,4.0,1.0,22.22222222222222,-0.5,-11.11111111111111,False,False,False
2005-02-02,short,6.5,1518.5,1.5,23.076923076923077,0.5,7.6923076923076925,False,False,False,True,289.0,12.0,184.6153846153846,-10.0,-153.84615384615387,False,True,False
2005-02-03,short,5.399999999999864,1509.7,0.5,9.259259259259494,2.0,37.037037037037976,False,False,True,True,0.0,0.0,0.0,2.5,46.29629629629747,True,True,False
2005-02-04,long,12.400000000000093,1519.2,0.5,4.032258064516099,0.0,0.0,False,True,True,True,0.0,0.0,0.0,0.5,4.032258064516099,True,True,False
2005-02-07,short,6.0,1530.0,3.0,50.0,-2.0,-33.33333333333333,True,False,False,False,,,,,,False,True,False
2005-02-08,long,9.0,1538.1,2.0,22.22222222222222,0.5,5.555555555555555,False,False,True,True,0.0,1.0,11.11111111111111,1.5,16.666666666666664,False,True,False
2005-02-09,short,8.0,1523.2,0.5,6.25,2.0,25.0,False,True,True,True,0.0,0.0,0.0,2.5,31.25,True,True,False
2005-02-10,short,6.0,1501.9,0.0,0.0,4.0,66.66666666666666,False,True,True,True,0.0,0.0,0.0,4.0,66.66666666666666,False,True,False
